PMC ID,adjuvant,immune_response_mechanism
PMC10048722,Alum,Activates NLRP3 inflammasome and forms a depot for slow antigen release.
PMC10048722,MPLA,Engages TLR4 pathway to promote Th1 responses.
PMC10048722,Chitosan,"Induces the production of cytokines (e.g., TNF-α, IL-1β, IFN-γ, and IL-10) which become a great indicator in the initiation of humoral immunity"
PMC10048722,Resiquimod (RC),Triggers toll-like receptor (TLR) 9 (TLR9) signaling and dendritic cells (DCs)
PMC10048722,Alginate,Preserves antigens in an acidic environment and alters the immunostimulatory characteristics of chitosan and trimethyl chitosan NPs
PMC10048722,β-glucan,Induces trained immunity through various recognition receptors on immune cells
PMC10059828,Alum,Induces immune response and stimulates antibody production
PMC10067403,Al hydroxide,Activates NLRP3 inflammasome and forms a depot for slow antigen release.
PMC10067403,Al hydroxyphosphate sulfate,Engages TLR4 pathway to promote Th1 responses.
PMC10067403,MPL (3‐O‐desacyl‐4′‐monophosphoryl lipid A),Engages TLR4 pathway to promote Th1 responses.
PMC10067403,QS‐21,Engages TLR4 pathway to promote Th1 responses.
PMC10113164,Alum,Activates NLRP3 inflammasome and forms a depot for slow antigen release.
PMC10113164,MPLA,Engages TLR4 pathway to promote Th1 responses.
PMC10185832,Alum,Activates NLRP3 inflammasome and forms a depot for slow antigen release.
PMC10295010,Alum,Activates NLRP3 inflammasome and forms a depot for slow antigen release.
PMC10295010,QS-21,Used as an adjuvant in the AN1792 vaccine to activate the immune system
PMC10303573,Alum,Activates NLRP3 inflammasome and forms a depot for slow antigen release.
PMC10383774,GM-CSF,Enhances the immune response
PMC10383774,CpG oligodeoxynucleotides,Enhances cellular immunity
PMC10383774,mHSP110,Enhances immune response
PMC10383774,β-defensin,Enhances immune response
PMC10383774,ATP,Triggers immunological response
PMC10385070,Alum,Activates NLRP3 inflammasome and forms a depot for slow antigen release.
PMC10385070,MPL,Engages TLR4 pathway to promote Th1 responses.
PMC10385070,QS-21,Triggers the inflammasome in model systems of immunogenicity
PMC10385070,MF59,Mediates a local inflammatory response and increases the trafficking of antigens to draining lymph nodes
PMC10385070,AS03,Mediates a local inflammatory response and increases the trafficking of antigens to draining lymph nodes
PMC10385070,CpG 1018,Agonist of Toll-like receptors (TLRs) and helps to shape the immune response towards a Th1-type quality
PMC10385070,Alhydroxiquim-II,Agonist of TLR7/8 and helps to shape the immune response towards a Th1-type quality
PMC10385070,Matrix-M,"Pleiotropic modes of action, which tend to augment humoral and cellular immune responses"
PMC10385070,Squalene,Mediates a local inflammatory response and increases the trafficking of antigens to draining lymph nodes
PMC10385070,Trehalose dibehenate (TDB),Ligand of the C-type lectin receptor Mincle
PMC10459455,Chitosan,Enhances antigen uptake and induces macrophages to secrete inflammatory factors regulating Th1/Th2 balance and tailoring a specific immune response
PMC10504489,Alum,Activates NLRP3 inflammasome and forms a depot for slow antigen release.
PMC10760363,Alum,Activates NLRP3 inflammasome and forms a depot for slow antigen release.
PMC10760363,MPLA,Engages TLR4 pathway to promote Th1 responses.
PMC10764465,MPLA,Engages TLR4 pathway to promote Th1 responses.
PMC10764465,"CpG 1,018","Stimulates innate immunity through TLR9, strongly favors development of the Th1 subset of helper T cells."
PMC10764465,"CpG 10,101",Dose-dependently increase immune marker activation while simultaneously decreasing HCV RNA levels.
PMC10764465,MPLA,Engages TLR4 pathway to promote Th1 responses.
PMC10764465,MPLA,Engages TLR4 pathway to promote Th1 responses.
PMC10764465,"CpG 1,018",Induces seroprotective titers in all participants with HIV without prior HBV vaccination.
PMC10764465,MPLA,Improves seroresponse.
PMC10769466,Alum,Activates NLRP3 inflammasome and forms a depot for slow antigen release.
PMC10769466,MPLA,Engages TLR4 pathway to promote Th1 responses.
PMC10776678,Alum,Activates NLRP3 inflammasome and forms a depot for slow antigen release.
PMC10790774,MPLA,Engages TLR4 pathway to promote Th1 responses.
PMC10790774,MF59,Selectively skew antibody effector function both through selective isotype/subclass selection and altered Fc-glycosylation.
PMC10899802,Alum,Activates NLRP3 inflammasome and forms a depot for slow antigen release.
PMC10899802,MPLA,Engages TLR4 pathway to promote Th1 responses.
PMC10968813,Naltrexone (NTX),"Negates the effects of exogenous opioids through competitive binding with opioid receptors; exhibits strong affinity for µ-opioid receptors in the central nervous system; high affinity, but also partial agonistic activity towards κ receptors in the brain and spinal cord; minor affinity for δ receptors in the spinal cord and peripheral nervous system."
PMC10968813,Methylnaltrexone (MNTX),Peripheral antagonist of opioid receptors; transient blockade of opioid receptors; promotes the release of endogenous opioid peptides through compensatory up-regulation of the OGF–OGFr axis; selective inhibition of growth and proliferation of cancer cells.
PMC10977380,Alum,IMM-AD04 alum reduces rate of cognitive decline
PMC11125637,HSP90,"Acts as a molecular chaperone, facilitating protein folding, stabilization, and activation of a wide range of client proteins, and modulates cellular functions such as cytokine secretion, cell maturation, and antigen presentation."
PMC11155708,Alum-CpG,Activates NLRP3 inflammasome and forms a depot for slow antigen release.
PMC11155708,MPLA,Engages TLR4 pathway to promote Th1 responses.
PMC11155708,Advax-CpG55.2,Stimulates TLR-9 agonist and stimulates broadly cross-neutralizing antibodies
PMC11221474,Alum,Activates NLRP3 inflammasome and forms a depot for slow antigen release.
PMC11221474,MPLA,Engages TLR4 pathway to promote Th1 responses.
PMC11242184,Alum,Activates NLRP3 inflammasome and forms a depot for slow antigen release.
