adjuvant,immune_response_mechanism
"1,25-dihydroxyvitamin D3 (VD3)",Suppresses immune responses and promotes tolerogenic effects. [PMC8033039]
3M-052,"Formulated in a lipid-based nanoparticle (3M-052-AF), is being evaluated as an adjuvant for a preventive HIV vaccine. [PMC9927404]"
3M-052/SE,Overcomes hyporesponsiveness to the pneumococcal conjugate vaccine at birth. [PMC7858666]
5′pppdsRNA,"Co-encapsulated with antigen peptides in lipid calcium phosphate nanoparticles, used as a nanovaccine against colorectal cancer and liver metastasis. [PMC9325128]"
AddaVax,MF59-like adjuvant [PMC7918810]
Advax,"Induces activation of CD4 + T cells and enhances antigen-specific B cell activation, BCR affinity maturation, IgG switching and production of high avidity Ab. [PMC6678067]"
Advax-CpG55.2,Stimulates TLR-9 agonist and stimulates broadly cross-neutralizing antibodies [PMC11155708]
Al hydroxide,Activates NLRP3 inflammasome and forms a depot for slow antigen release. [PMC10067403]
Al hydroxyphosphate sulfate,Engages TLR4 pathway to promote Th1 responses. [PMC10067403]
Alginate,Preserves antigens in an acidic environment and alters the immunostimulatory characteristics of chitosan and trimethyl chitosan NPs [PMC10048722]
Alhydrogel,Activates NLRP3 inflammasome and forms a depot for slow antigen release. [PMC8227888]
AlhydrogelTM,Reduces antigen dose by 75% while retaining equivalent magnitudes of responses [PMC7959455]
Alhydroxiquim-II,Agonist of TLR7/8 and helps to shape the immune response towards a Th1-type quality [PMC10385070]
